"","gender","age_group","education","unemployed","have_partner","depressed","children_presence","housing_financial_difficulties","selfrated_health","critical_job","weight"
"130","f","_1","middle","no","yes","no","yes","yes","good","yes",0.00506698035428362
"131","m","_2","middle","no","yes","no","yes","yes","good","yes",0.0353577468329215
"132","f","_2","middle","no","yes","no","yes","yes","good","yes",0.0238704293035552
"133","m","_3","middle","no","yes","no","yes","yes","good","yes",0.0599522083133565
"134","f","_3","middle","no","yes","no","yes","yes","good","yes",0.043946032527611
"135","m","_4","middle","no","yes","no","yes","yes","good","yes",0.0163893855363504
"136","f","_4","middle","no","yes","no","yes","yes","good","yes",0.00838324834991083
"137","m","_1","high","no","yes","no","yes","yes","good","yes",0.0318128353676625
"138","f","_1","high","no","yes","no","yes","yes","good","yes",0.0212327593278539
"139","m","_2","high","no","yes","no","yes","yes","good","yes",0.108383660995753
"140","f","_2","high","no","yes","no","yes","yes","good","yes",0.0629315519552042
"141","m","_3","high","no","yes","no","yes","yes","good","yes",0.135951196060289
"142","f","_3","high","no","yes","no","yes","yes","good","yes",0.0857090138756519
"143","m","_4","high","no","yes","no","yes","yes","good","yes",0.0467155640926763
"144","f","_4","high","no","yes","no","yes","yes","good","yes",0.0205513443197956
"145","m","_1","low","yes","no","no","yes","yes","good","yes",0.0023242076999238
"146","f","_1","low","yes","no","no","yes","yes","good","yes",0.000941233884397679
"147","m","_2","low","yes","no","no","yes","yes","good","yes",0.0926760676313366
"148","f","_2","low","yes","no","no","yes","yes","good","yes",0.0326505710907235
"149","m","_3","low","yes","no","no","yes","yes","good","yes",0.27169446433299
"150","f","_3","low","yes","no","no","yes","yes","good","yes",0.103930451555004
"151","m","_4","low","yes","no","no","yes","yes","good","yes",0.077535363958463
"152","f","_4","low","yes","no","no","yes","yes","good","yes",0.0206965056653825
"153","m","_1","middle","yes","no","no","yes","yes","good","yes",0.082162367331242
"154","f","_1","middle","yes","no","no","yes","yes","good","yes",0.049368522062776
"155","m","_2","middle","yes","no","no","yes","yes","good","yes",1.03363484908343
"156","f","_2","middle","yes","no","no","yes","yes","good","yes",0.540312346430844
"157","m","_3","middle","yes","no","no","yes","yes","good","yes",1.78539523376312
"158","f","_3","middle","yes","no","no","yes","yes","good","yes",1.01333013834965
"159","m","_4","middle","yes","no","no","yes","yes","good","yes",0.366393822182513
"160","f","_4","middle","yes","no","no","yes","yes","good","yes",0.14511085581941
"161","m","_1","high","yes","no","no","yes","yes","good","yes",0.192297054357734
"162","f","_1","high","yes","no","no","yes","yes","good","yes",0.0993753774544436
"163","m","_2","high","yes","no","no","yes","yes","good","yes",1.52201112353625
"164","f","_2","high","yes","no","no","yes","yes","good","yes",0.684265355883092
"165","m","_3","high","yes","no","no","yes","yes","good","yes",1.94483905711356
"166","f","_3","high","yes","no","no","yes","yes","good","yes",0.949356293333152
"167","m","_4","high","yes","no","no","yes","yes","good","yes",0.501670445785632
"168","f","_4","high","yes","no","no","yes","yes","good","yes",0.170883155665231
"169","m","_1","low","no","no","no","yes","yes","good","yes",5.72760871939292e-05
"170","f","_1","low","no","no","no","yes","yes","good","yes",2.11422320720475e-05
"171","m","_2","low","no","no","no","yes","yes","good","yes",0.00146900964014745
"172","f","_2","low","no","no","no","yes","yes","good","yes",0.000471740003824067
"173","m","_3","low","no","no","no","yes","yes","good","yes",0.00397982333858168
"174","f","_3","low","no","no","no","yes","yes","good","yes",0.00138765241266224
"175","m","_4","low","no","no","no","yes","yes","good","yes",0.00157711504151246
"176","f","_4","low","no","no","no","yes","yes","good","yes",0.000383720893418674
"177","m","_1","middle","no","no","no","yes","yes","good","yes",0.00253832037791075
"178","f","_1","middle","no","no","no","yes","yes","good","yes",0.00139020387487751
"179","m","_2","middle","no","no","no","yes","yes","good","yes",0.0205399450564232
"180","f","_2","middle","no","no","no","yes","yes","good","yes",0.00978660144496646
"181","m","_3","middle","no","no","no","yes","yes","good","yes",0.0327863040456674
"182","f","_3","middle","no","no","no","yes","yes","good","yes",0.0169614871186659
"183","m","_4","middle","no","no","no","yes","yes","good","yes",0.00934300911807507
"184","f","_4","middle","no","no","no","yes","yes","good","yes",0.00337282190781922
"185","m","_1","high","no","no","no","yes","yes","good","yes",0.0083842153218259
