step_id,agent_id,lockdown,mh,n_contacts
6,26,easy,5.0,6.6
6,27,easy,-1.5,4.3999999999999995
6,28,easy,4.0,2.4000000000000004
6,29,easy,8.0,6.8
6,30,easy,10.0,4.8
6,31,easy,5.0,5.3
6,32,easy,6.0,8.5
6,33,easy,4.0,4.3
6,34,easy,11.5,11.299999999999999
6,35,easy,4.0,4.8
6,36,easy,5.0,4.9
6,37,easy,6.0,5.199999999999999
6,38,easy,7.0,7.1000000000000005
6,39,easy,3.0,3.8
6,40,easy,8.0,6.7
6,41,easy,5.0,10.899999999999999
6,42,easy,3.5,3.5
6,43,easy,4.0,6.6
6,44,easy,7.0,5.3
6,45,easy,5.0,1.1000000000000003
6,46,easy,8.0,3.0
6,47,easy,13.0,14.7
6,48,easy,6.0,9.1
6,49,easy,10.0,8.0
6,50,easy,3.5,5.0
6,51,easy,6.0,6.8
6,52,easy,4.5,3.1
6,53,easy,3.0,4.1
6,54,easy,4.0,6.199999999999999
6,55,easy,6.0,5.5
6,56,easy,4.0,3.8
6,57,easy,3.0,3.8
6,58,easy,2.0,3.3999999999999995
6,59,easy,6.0,5.3999999999999995
6,60,easy,4.0,6.4
6,61,easy,9.5,4.3
6,62,easy,4.0,3.3
6,63,easy,9.0,7.1
6,64,easy,9.0,8.8
6,65,easy,2.0,6.0
6,66,easy,6.5,3.8
6,67,easy,9.0,6.3999999999999995
6,68,easy,7.5,8.399999999999999
6,69,easy,6.0,8.5
6,70,easy,7.5,13.6
6,71,easy,9.5,9.1
6,72,easy,4.5,2.1
6,73,easy,2.0,4.1
6,74,easy,-2.0,-0.10000000000000053
6,75,easy,7.0,5.4
6,76,easy,8.0,9.399999999999999
6,77,easy,1.0,1.8999999999999995
6,78,easy,6.0,6.1
6,79,easy,9.0,6.7
6,80,easy,1.0,0.7999999999999998
6,81,easy,9.5,9.8
6,82,easy,3.0,4.6
6,83,easy,6.0,1.9000000000000001
6,84,easy,1.0,1.0000000000000002
6,85,easy,9.0,9.8
6,86,easy,5.0,2.9000000000000004
6,87,easy,11.5,9.6
6,88,easy,6.0,7.3999999999999995
6,89,easy,5.0,5.3
6,90,easy,6.0,9.399999999999999
6,91,easy,4.0,3.6
6,92,easy,11.5,8.399999999999999
6,93,easy,1.5,3.8
6,94,easy,10.0,6.3999999999999995
6,95,easy,9.0,8.0
6,96,easy,5.0,3.9000000000000004
6,97,easy,5.0,7.0
6,98,easy,5.5,6.1
6,99,easy,10.0,4.199999999999999
7,0,medium,1.0,5.699999999999999
7,1,medium,5.0,5.6
7,2,medium,2.0,4.1
7,3,medium,5.0,5.1
7,4,medium,6.5,5.4
7,5,medium,7.0,7.5
7,6,medium,10.0,11.3
7,7,medium,4.5,6.5
7,8,medium,4.5,6.1
7,9,medium,7.0,9.7
7,10,medium,-1.5,3.0999999999999996
7,11,medium,4.0,4.8
7,12,medium,-2.0,2.3
7,13,medium,0.5,2.5
7,14,medium,3.0,4.8
7,15,medium,9.0,6.9
7,16,medium,1.0,2.5999999999999996
7,17,medium,1.5,4.2
7,18,medium,3.5,8.0
7,19,medium,6.5,6.1
7,20,medium,1.5,5.8999999999999995
7,21,medium,4.5,6.1
7,22,medium,6.0,6.3
7,23,medium,0.0,3.6999999999999997
7,24,medium,4.0,6.199999999999999
7,25,medium,3.5,4.4
7,26,medium,6.0,7.3999999999999995
7,27,medium,-2.0,7.0
7,28,medium,4.0,5.9
7,29,medium,1.0,2.8
7,30,medium,8.0,3.8
7,31,medium,2.0,4.3
7,32,medium,6.5,8.5
7,33,medium,0.0,1.6
7,34,medium,3.5,6.8
7,35,medium,4.5,6.2
7,36,medium,5.0,4.1
7,37,medium,5.0,4.1
7,38,medium,2.5,3.6000000000000005
7,39,medium,7.0,8.3
7,40,medium,3.0,7.5
7,41,medium,10.0,9.899999999999999
7,42,medium,-2.0,-2.4000000000000004
7,43,medium,7.0,7.3
7,44,medium,4.0,5.1
7,45,medium,5.0,3.4000000000000004
7,46,medium,9.5,9.1
7,47,medium,7.0,4.8
7,48,medium,1.0,6.1
7,49,medium,1.0,3.3
7,50,medium,6.5,4.6
7,51,medium,6.0,5.1
7,52,medium,0.5,5.8
7,53,medium,4.0,4.5
7,54,medium,1.0,1.1999999999999993
7,55,medium,6.0,6.0
7,56,medium,4.0,3.8
7,57,medium,3.0,4.8
7,58,medium,4.0,9.6
7,59,medium,9.0,5.1
7,60,medium,7.0,6.3
7,61,medium,3.0,4.199999999999999
7,62,medium,5.0,6.3
7,63,medium,7.0,10.8
7,64,medium,8.0,7.0
7,65,medium,8.0,12.6
7,66,medium,3.5,8.0
7,67,medium,6.0,5.1
7,68,medium,-2.5,0.09999999999999964
7,69,medium,6.0,6.8
7,70,medium,0.5,5.2
7,71,medium,2.5,0.2999999999999998
7,72,medium,2.5,7.0
7,73,medium,4.0,3.8
7,74,medium,1.0,8.3
7,75,medium,-0.5,3.3
7,76,medium,2.0,3.3999999999999995
7,77,medium,9.0,9.1
7,78,medium,3.0,2.3
7,79,medium,5.0,7.6
7,80,medium,6.0,10.0
7,81,medium,7.0,8.8
7,82,medium,1.0,2.5999999999999996
7,83,medium,5.0,3.5
7,84,medium,3.0,4.1
7,85,medium,11.5,9.8
7,86,medium,2.5,3.1
7,87,medium,6.5,2.8
7,88,medium,0.0,4.1
7,89,medium,5.5,6.3
7,90,medium,9.0,6.3999999999999995
7,91,medium,4.0,4.3
7,92,medium,3.5,3.8999999999999995
7,93,medium,4.0,3.8
7,94,medium,9.0,11.1
7,95,medium,10.0,6.3
7,96,medium,4.0,2.5
7,97,medium,2.0,4.4
7,98,medium,3.0,0.6000000000000001
7,99,medium,9.0,9.6
8,0,hard,1.0,4.1
8,1,hard,4.0,4.8
8,2,hard,-1.5,1.5000000000000002
8,3,hard,-1.0,2.4
8,4,hard,4.5,4.5
